Gene,log2FoldChange,pvalue,padj
GRIP1,4.82648617476781,5.21405242273033e-42,5.80933985725622e-41
TIAF1,4.82477806085997,7.16584766574188e-46,1.06989043390426e-44
FXN,4.82288187611554,8.43984331819912e-34,5.20410692003053e-33
ARL5C,4.81745862754183,3.31664842400754e-13,6.13066614472673e-13
CARMIL2,4.81690734030469,1.29675561750385e-27,5.30364551840316e-27
HPDL,4.81604440512351,1.36557733692685e-22,4.13405712241439e-22
BMP15,4.81390207840155,5.14253660130424e-12,8.96744510948609e-12
ASB17,4.81294033508136,2.53092867108297e-09,3.86878842123471e-09
GLIPR1L1,4.81277227794438,1.59804450274618e-24,5.41914646931259e-24
ABHD14A-ACY1,4.81163093332455,4.73350583677424e-42,5.29397143015126e-41
IGKV2-18,4.81022063484938,4.41728193047041e-10,7.00650023480297e-10
IGKV1-17,4.81019381671275,1.6009043297054e-11,2.72473811105922e-11
COX6A2,4.80844993996444,9.09527955191783e-10,1.41980642607456e-09
NFE4,4.80601878289905,7.81570426330903e-20,2.02861690221027e-19
KBTBD12,4.80577122470835,1.30994771542747e-28,5.72348523552945e-28
HSD17B7P2,4.79936759311037,1.89220050068635e-25,6.76992402129896e-25
HSPA12A,4.79801411393391,3.96111178657286e-35,2.68034835050548e-34
DGCR5,4.79752970996175,1.39430416131285e-21,3.99444583885495e-21
IGLV3-27,4.79746433253267,5.28429943084689e-12,9.20841249998957e-12
IFITM4P,4.79431689750272,6.56055874687163e-12,1.13890680664281e-11
GNG11,4.79418322183451,3.22274826832367e-19,8.10447229928417e-19
NXNL1,4.79417586308079,5.20150343973341e-09,7.8290474437019e-09
IGHVII-65-1,4.79353098424826,3.68691871705775e-10,5.86836224137423e-10
IGLVI-70,4.79142401508969,2.96857500946389e-09,4.52234073578094e-09
KCNG4,4.79108602083383,1.84992573202499e-21,5.26240265195344e-21
CLDN24,4.7905050340088,5.39171924296902e-18,1.2681220244823e-17
GPR119,4.79040944641326,1.50665347428079e-09,2.32830006928652e-09
CD300E,4.78701629204199,2.50246418256069e-22,7.46499632564911e-22
DEFA9P,4.7859027764169,2.68099900269471e-11,4.50536425928001e-11
HASPIN,4.78566368747891,1.46769383181737e-22,4.43732912082033e-22
CDH17,4.7853705364736,1.29337623372047e-27,5.29087446204834e-27
IGLC7,4.78465699259217,5.11026045736131e-12,8.91267149357436e-12
VSIG1,4.78456101125278,5.58639993555034e-22,1.63799352508216e-21
DEFA4,4.78113374262289,5.90206698953363e-10,9.30571575473613e-10
MAP7D2,4.78006054852816,2.2302538283601e-25,7.93805444333904e-25
